image_id,latex_gt,latex_pred,correct_exact,render_success,inference_time_ms,error_type,note
spe_0020448.png,"\{ F , G \} =","\left\{ F , G \right\} =",0,1,940.861701965332,other_structure_error,failed: other_structure_error
spe_0028917.png,"d f = - [ \theta , f ] ,","d f = - [ \theta , f ] ,",1,1,1015.5720710754395,none,good
spe_0031331.png,d F + \beta * F - F * \beta = 0 .,d F + \beta * F - F * \beta = 0 .,1,1,1182.9304695129395,none,good
spe_0031600.png,\bar { V } = V,{ \bar { V } } = V,0,1,920.1869964599609,bracket_mismatch,failed: bracket_mismatch
spe_0055988.png,"\alpha = \beta = 0 , \quad \gamma = 1 .","\alpha = \beta = 0 , \quad \gamma = 1 .",1,1,1248.2454776763916,none,good
spe_0076260.png,K = - \beta H + { \bf v } { \bf P } .,K = - \beta H + \mathbf { v } \mathbf { P } .,0,1,1395.6725597381592,other_structure_error,failed: other_structure_error
spe_0088793.png,"v ( \xi ) \approx - 1 + \kappa \xi ,","\begin{array} { r } { v ( \xi ) \approx - 1 + \kappa \xi , } \end{array}",0,0,1876.2710094451904,bracket_mismatch,failed: bracket_mismatch
spe_0106668.png,"\langle \sigma \rangle = 0 \, .","\langle \sigma \rangle = 0 \, .",1,1,1034.158706665039,none,good
spe_0109582.png,"b ( L = 0 ) = 2 . 3 6 5 \, \sigma .","b ( L = 0 ) = 2 . 3 6 5 \, \sigma .",1,1,1402.6153087615967,none,good
spe_0128450.png,G M > ( r e m p l a c e ),G M > ( r e m p l a c e ),1,1,1015.8746242523193,none,good
frac_0000035.png,"e ^ { A } = e ^ { A _ { 0 } } \left( t _ { 0 } - \mathrm { s i g n } ( m ) t \right) ^ { - \frac { m } { 2 } } \; , \; \; \; \; \chi = \chi _ { 0 } \left( t _ { 0 } - \mathrm { s i g n } ( m ) t \right) ^ { m } \; ,","e ^ { A } = e ^ { A _ { 0 } } \left( t _ { 0 } - \mathrm { s i g n } ( m ) t \right) ^ { - \frac { m } { 2 } } \; , \quad \chi = \chi _ { 0 } \left( t _ { 0 } - \mathrm { s i g n } ( m ) t \right) ^ { m } \; ,",0,1,5321.756601333618,symbol_misrecognition,failed: symbol_misrecognition
frac_0000102.png,"< \frac { 1 } { 2 } , m _ { s } | { \psi } _ { - } ^ { ( \frac { 1 } { 2 } ) } ( g ) > \equiv D _ { m _ { s } - \frac { 1 } { 2 } } ^ { ( \frac { 1 } { 2 } ) } ( g ) = < g , l + \frac { 1 } { 2 } | T _ { m _ { s } - } ^ { \frac { 1 } { 2 } } | g , l > .","< \frac { 1 } { 2 } , m _ { s } | { \psi } _ { - } ^ { ( \frac { 1 } { 2 } ) } ( g ) > \equiv D _ { m _ { s } - \frac { 1 } { 2 } } ^ { ( \frac { 1 } { 2 } ) } ( g ) = < g , l + \frac { 1 } { 2 } | T _ { m _ { s } - } ^ { \frac { 1 } { 2 } } | g , l > .",1,1,7155.6556224823,none,good
frac_0000144.png,\Delta { \cal A } = \frac { 1 } { 2 } ( 1 + g ) .,\Delta { \cal A } = \frac { 1 } { 2 } ( 1 + g ) .,1,1,1694.1094398498535,none,good
frac_0000155.png,"\frac 1 { \nabla ^ { 2 } } \, \delta _ { \Sigma } ^ { ( 2 ) } ( z - z _ { 0 } ) = - \frac 1 \pi \log { \cal E } ( z , z _ { 0 } )","\frac { 1 } { \nabla ^ { 2 } } \, \delta _ { \Sigma } ^ { ( 2 ) } ( z - z _ { 0 } ) = - \frac { 1 } { \pi } \log E ( z , z _ { 0 } )",0,1,3712.129592895508,bracket_mismatch,failed: bracket_mismatch
frac_0000302.png,\sigma _ { \pm } = \frac { \tau \pm \sigma } { 2 } \ .,\sigma _ { \pm } = \frac { \tau \pm \sigma } { 2 } \ .,1,1,1627.4285316467285,none,good
